Canonical URL,Implementation,Audience,Authentication,Entry point,Back path,Inbound links,Outbound links,Status,Dependencies,Review state,Registry surface,Discovered as
/api/bna/rabbi/live-sessions/:id,server.js:74468,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-patch
/api/bna/rabbi/members,server.js:74145 | server.js:74172,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-post
/api/bna/rabbi/members/:id,server.js:74206,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-patch
/api/bna/rabbi/provider-settings,server.js:73937,provider,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get
/api/bna/rabbi/provider-settings/:provider,server.js:73946,provider,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-patch
/api/bna/rabbi/site,server.js:74543 | server.js:74556,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-patch
/api/bna/rabbi/site/approve-public-replacement,server.js:74599,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/rabbi/tiers,server.js:73830 | server.js:73839,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-post
/api/bna/rabbi/tiers/:id,server.js:73898,one time,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-patch
/api/bna/recording-intake/parse-mixed-recording,server.js:57018,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-post
/api/bna/resend/status,server.js:40931,internal,protected,direct/server/static,none detected,,,internal-only,live credential,intentionally blocked,,server-get
/api/bna/resend/webhook,server.js:10042 | server.js:40914,internal,protected,direct/server/static,none detected,,,internal-only,live credential,intentionally blocked,,server-post | server-use
/api/bna/review-requests,server.js:42677 | server.js:42703,internal,protected,direct/server/static,none detected,,,internal-only,mocked integration,ready,,server-get | server-post
/api/bna/sections,server.js:56961 | server.js:56962,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-get | server-post
/api/bna/sections/:id,server.js:56963,internal,protected,direct/server/static,none detected,,,internal-only,local,ready,,server-patch
