id,label,group,viewport,rating,status,screenshot,url,visibleButtonCount,visibleLinkCount,disabledButtonCount
operations-platform-service_providers-leads,Operations / Platform / Super Admin / Service Providers / Leads,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-service_providers-leads.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=service_providers&section=leads,37,1,1
operations-platform-service_providers-communications,Operations / Platform / Super Admin / Service Providers / Communications,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-service_providers-communications.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=service_providers&section=communications,30,1,0
operations-platform-service_providers-settings,Operations / Platform / Super Admin / Service Providers / Settings,Operations,desktop,8.3,ok,screenshots/desktop/operations-platform-service_providers-settings.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=service_providers&section=settings,51,1,0
operations-platform-communications-overview,Operations / Platform / Super Admin / Communications / Overview,Operations,desktop,8.6,ok,screenshots/desktop/operations-platform-communications-overview.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=communications&section=overview,30,1,0
operations-platform-communications-parents,Operations / Platform / Super Admin / Communications / Parents,Operations,desktop,8.6,ok,screenshots/desktop/operations-platform-communications-parents.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=communications&section=parents,26,1,0
operations-platform-communications-students,Operations / Platform / Super Admin / Communications / Students,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-communications-students.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=communications&section=students,26,1,0
operations-platform-communications-providers,Operations / Platform / Super Admin / Communications / Providers,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-communications-providers.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=communications&section=providers,26,1,0
operations-platform-communications-internal,Operations / Platform / Super Admin / Communications / Internal,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-communications-internal.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=communications&section=internal,26,1,0
operations-platform-communications-whatsapp,Operations / Platform / Super Admin / Communications / Whatsapp,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-communications-whatsapp.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=communications&section=whatsapp,26,1,0
operations-platform-communications-email,Operations / Platform / Super Admin / Communications / Email,Operations,desktop,8.6,ok,screenshots/desktop/operations-platform-communications-email.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=communications&section=email,26,1,0
operations-platform-communications-bots,Operations / Platform / Super Admin / Communications / Bots,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-communications-bots.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=communications&section=bots,27,1,1
operations-platform-communications-templates,Operations / Platform / Super Admin / Communications / Templates,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-communications-templates.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=communications&section=templates,27,1,1
operations-platform-communications-settings,Operations / Platform / Super Admin / Communications / Settings,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-communications-settings.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=communications&section=settings,27,1,1
operations-platform-internal_dialogue-overview,Operations / Platform / Super Admin / Internal Dialogue / Overview,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-internal_dialogue-overview.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=internal_dialogue&section=overview,28,1,0
operations-platform-internal_dialogue-shloimie_rabbi,Operations / Platform / Super Admin / Internal Dialogue / Shloimie Rabbi,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-internal_dialogue-shloimie_rabbi.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=internal_dialogue&section=shloimie_rabbi,24,1,0
operations-platform-internal_dialogue-meeting_notes,Operations / Platform / Super Admin / Internal Dialogue / Meeting Notes,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-internal_dialogue-meeting_notes.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=internal_dialogue&section=meeting_notes,24,1,0
operations-platform-internal_dialogue-uploads,Operations / Platform / Super Admin / Internal Dialogue / Uploads,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-internal_dialogue-uploads.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=internal_dialogue&section=uploads,24,1,0
operations-platform-internal_dialogue-decisions,Operations / Platform / Super Admin / Internal Dialogue / Decisions,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-internal_dialogue-decisions.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=internal_dialogue&section=decisions,24,1,0
operations-platform-internal_dialogue-support,Operations / Platform / Super Admin / Internal Dialogue / Support,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-internal_dialogue-support.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=internal_dialogue&section=support,24,1,0
operations-platform-internal_dialogue-activity,Operations / Platform / Super Admin / Internal Dialogue / Activity,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-internal_dialogue-activity.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=internal_dialogue&section=activity,24,1,0
operations-platform-accounting-overview,Operations / Platform / Super Admin / Accounting / Overview,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-accounting-overview.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=accounting&section=overview,31,1,0
operations-platform-accounting-payments,Operations / Platform / Super Admin / Accounting / Payments,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-accounting-payments.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=accounting&section=payments,31,1,0
operations-platform-accounting-open,Operations / Platform / Super Admin / Accounting / Open,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-accounting-open.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=accounting&section=open,31,1,0
operations-platform-accounting-paid,Operations / Platform / Super Admin / Accounting / Paid,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-accounting-paid.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=accounting&section=paid,31,1,0
operations-platform-accounting-needs_signup,Operations / Platform / Super Admin / Accounting / Needs Signup,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-accounting-needs_signup.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=accounting&section=needs_signup,31,1,0
operations-platform-accounting-exceptions,Operations / Platform / Super Admin / Accounting / Exceptions,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-accounting-exceptions.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=accounting&section=exceptions,31,1,0
operations-platform-api_usage-overview,Operations / Platform / Super Admin / Api Usage / Overview,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-api_usage-overview.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=api_usage&section=overview,25,1,0
operations-platform-api_usage-workspace,Operations / Platform / Super Admin / Api Usage / Workspace,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-api_usage-workspace.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=api_usage&section=workspace,26,1,1
operations-platform-api_usage-parent,Operations / Platform / Super Admin / Api Usage / Parent,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-api_usage-parent.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=api_usage&section=parent,26,1,1
operations-platform-api_usage-student,Operations / Platform / Super Admin / Api Usage / Student,Operations,desktop,9.2,ok,screenshots/desktop/operations-platform-api_usage-student.jpg,https://bneineviimacademy.org/operations?workspace=platform&view=api_usage&section=student,26,1,1
